id1,id2,boundary
1,1,2000
1,2,1000
1,11,1000
2,2,1000
2,3,1000
2,12,1000
3,3,1000
3,4,1000
3,13,1000
4,4,1000
4,5,1000
4,14,1000
5,5,1000
5,6,1000
5,15,1000
6,6,1000
6,7,1000
6,16,1000
7,7,1000
7,8,1000
7,17,1000
8,8,1000
8,9,1000
8,18,1000
9,9,1000
9,10,1000
9,19,1000
10,10,2000
10,20,1000
11,11,1000
11,12,1000
11,21,1000
12,13,1000
12,22,1000
13,14,1000
13,23,1000
14,15,1000
14,24,1000
15,16,1000
15,25,1000
16,17,1000
16,26,1000
17,18,1000
17,27,1000
18,19,1000
18,28,1000
19,20,1000
19,29,1000
20,20,1000
20,30,1000
21,21,1000
21,22,1000
21,31,1000
22,23,1000
22,32,1000
23,24,1000
23,33,1000
24,25,1000
24,34,1000
25,26,1000
25,35,1000
26,27,1000
26,36,1000
27,28,1000
27,37,1000
28,29,1000
28,38,1000
29,30,1000
29,39,1000
30,30,1000
30,40,1000
31,31,1000
31,32,1000
31,41,1000
32,33,1000
32,42,1000
33,34,1000
33,43,1000
34,35,1000
34,44,1000
35,36,1000
35,45,1000
36,37,1000
36,46,1000
37,38,1000
37,47,1000
38,39,1000
38,48,1000
39,40,1000
39,49,1000
40,40,1000
40,50,1000
41,41,1000
41,42,1000
41,51,1000
42,43,1000
42,52,1000
43,44,1000
43,53,1000
44,45,1000
44,54,1000
45,46,1000
45,55,1000
46,47,1000
46,56,1000
47,48,1000
47,57,1000
48,49,1000
48,58,1000
49,50,1000
49,59,1000
50,50,1000
50,60,1000
51,51,1000
51,52,1000
51,61,1000
52,53,1000
52,62,1000
53,54,1000
53,63,1000
54,55,1000
54,64,1000
55,56,1000
55,65,1000
56,57,1000
56,66,1000
57,58,1000
57,67,1000
58,59,1000
58,68,1000
59,60,1000
59,69,1000
60,60,1000
60,70,1000
61,61,1000
61,62,1000
61,71,1000
62,63,1000
62,72,1000
63,64,1000
63,73,1000
64,65,1000
64,74,1000
65,66,1000
65,75,1000
66,67,1000
66,76,1000
67,68,1000
67,77,1000
68,69,1000
68,78,1000
69,70,1000
69,79,1000
70,70,1000
70,80,1000
71,71,1000
71,72,1000
71,81,1000
72,73,1000
72,82,1000
73,74,1000
73,83,1000
74,75,1000
74,84,1000
75,76,1000
75,85,1000
76,77,1000
76,86,1000
77,78,1000
77,87,1000
78,79,1000
78,88,1000
79,80,1000
79,89,1000
80,80,1000
80,90,1000
81,81,1000
81,82,1000
81,91,1000
82,83,1000
82,92,1000
83,84,1000
83,93,1000
84,85,1000
84,94,1000
85,86,1000
85,95,1000
86,87,1000
86,96,1000
87,88,1000
87,97,1000
88,89,1000
88,98,1000
89,90,1000
89,99,1000
90,90,1000
90,100,1000
91,91,2000
91,92,1000
92,92,1000
92,93,1000
93,93,1000
93,94,1000
94,94,1000
94,95,1000
95,95,1000
95,96,1000
96,96,1000
96,97,1000
97,97,1000
97,98,1000
98,98,1000
98,99,1000
99,99,1000
99,100,1000
100,100,2000
